epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5162.35,1.25099,1.39274,1.18991,0.89841,0.86163,0.91373,0.54574,1.37779,0.96107,1.28743,0.000666163,0.000666163,0.000666163
2,10105.7,1.24469,0.7464,1.21426,0.94484,0.88884,0.94462,0.58643,1.34325,0.75104,1.26383,0.00120088,0.00120088,0.00120088
3,14974.5,1.21638,0.68697,1.20057,0.95221,0.90661,0.94546,0.57887,1.38856,0.69521,1.27027,0.0016036,0.0016036,0.0016036
4,20334.5,1.18026,0.64,1.18078,0.96159,0.92683,0.96051,0.61089,1.29354,0.62159,1.22501,0.001406,0.001406,0.001406
5,25236.3,1.15479,0.59451,1.17566,0.96939,0.92824,0.96556,0.64916,1.19208,0.5858,1.19189,0.001208,0.001208,0.001208
6,30063.7,1.12863,0.56358,1.16015,0.97264,0.93386,0.96732,0.64405,1.22366,0.54396,1.20084,0.00101,0.00101,0.00101
7,34875.9,1.1085,0.52497,1.14772,0.97931,0.93257,0.97198,0.66111,1.19893,0.53007,1.18586,0.000812,0.000812,0.000812
8,39702.8,1.08425,0.5011,1.13193,0.97909,0.94416,0.97551,0.67401,1.16381,0.49629,1.18275,0.000614,0.000614,0.000614
9,44492.6,1.05876,0.47085,1.11841,0.982,0.94667,0.97848,0.68293,1.1377,0.47845,1.1415,0.000416,0.000416,0.000416
10,49269.8,1.03367,0.44708,1.10607,0.98293,0.94981,0.97754,0.68824,1.13707,0.44964,1.14542,0.000218,0.000218,0.000218
